category,chats,pct,negative_chats,neg_pct,dropped_chats,drop_pct,avg_msgs
영상재생/콘텐츠,440,30.8,110,25.0,147,33.4,Infinity
학원등록연동/회원이관,377,26.4,79,21.0,146,38.7,Infinity
학부모/계정통합,189,13.2,52,27.5,76,40.2,5.597270440131577e+276
강좌 신청/수강,134,9.4,22,16.4,26,19.4,5.680705952235903e+153
환불/결제,92,6.4,18,19.6,13,14.1,1.1822621026595191e+104
기타,84,5.9,8,9.5,23,27.4,9.696377219661251e+94
QR/출석,60,4.2,8,13.3,23,38.3,2.046602183744395e+81
로그인/계정,32,2.2,9,28.1,14,43.8,2.4634978008287533e+43
강사/강좌 정보,9,0.6,3,33.3,1,11.1,705693938.7
앱 설치/오류,9,0.6,3,33.3,2,22.2,710134512413.0
교재/배송,3,0.2,1,33.3,1,33.3,182.0
