dow,hour_kst,u,m
0,0,13,0
0,2,1,0
0,6,5,0
0,8,26,4
0,9,25,23
0,10,87,64
0,11,45,29
0,12,69,42
0,13,48,32
0,14,65,42
0,15,42,34
0,16,33,29
0,17,31,11
0,18,41,14
0,19,24,1
0,20,42,18
0,21,14,1
0,22,29,2
0,23,12,0
1,0,10,0
1,1,4,0
1,2,1,0
1,6,4,0
1,7,5,0
1,8,43,52
1,9,40,85
1,10,109,115
1,11,86,78
1,12,66,27
1,13,75,69
1,14,119,70
1,15,104,70
1,16,119,67
1,17,124,86
1,18,107,53
1,19,70,37
1,20,30,11
1,21,43,16
1,22,29,8
1,23,13,0
2,0,17,0
2,6,5,0
2,7,8,0
2,8,17,11
2,9,31,44
2,10,125,86
2,11,85,66
2,12,52,22
2,13,46,33
2,14,117,81
2,15,84,45
2,16,37,25
2,17,107,70
2,18,97,69
2,19,55,39
2,20,52,15
2,21,30,3
2,22,27,6
2,23,26,1
3,0,10,4
3,1,3,0
3,3,3,0
3,6,3,0
3,7,3,0
3,8,15,13
3,9,18,25
3,10,82,79
3,11,61,46
3,12,58,37
3,13,28,29
3,14,76,42
3,15,77,47
3,16,61,50
3,17,55,40
3,18,73,36
3,19,72,42
3,20,45,15
3,21,57,39
3,22,32,4
3,23,8,0
4,0,8,0
4,1,5,0
4,2,1,0
4,7,15,0
4,8,10,2
4,9,18,29
4,10,75,74
4,11,35,27
4,12,52,30
4,13,77,37
4,14,74,38
4,15,67,36
4,16,68,35
4,17,87,56
4,18,61,36
4,19,32,20
4,20,30,10
4,21,18,3
4,22,15,3
4,23,10,0
5,0,3,0
5,1,6,0
5,3,1,0
5,7,11,0
5,8,7,4
5,9,19,35
5,10,75,62
5,11,59,42
5,12,30,21
5,13,62,42
5,14,117,77
5,15,70,44
5,16,94,48
5,17,97,60
5,18,117,63
5,19,49,32
5,20,54,25
5,21,18,11
5,22,28,7
5,23,13,0
6,0,7,0
6,1,2,0
6,2,1,0
6,4,1,0
6,7,2,0
6,8,32,1
6,9,32,38
6,10,58,43
6,11,102,64
6,12,80,45
6,13,100,84
6,14,52,35
6,15,58,23
6,16,61,32
6,17,112,66
6,18,102,66
6,19,66,36
6,20,19,18
6,21,32,6
6,22,21,0
6,23,20,0
